Team,Date,ELO,season,month,year
League City Bay Area Christian,2009-11-03,1478.8747616020344,2010,11,2009
League City Bay Area Christian,2009-11-05,1506.0233802983814,2010,11,2009
League City Bay Area Christian,2009-12-01,1490.2221742206368,2010,12,2009
League City Bay Area Christian,2010-2-05,1474.2593566143817,2010,2,2010
League City Bay Area Christian,2010-2-09,1454.584242100161,2010,2,2010
League City Bay Area Christian,2010-11-05,1447.7048351454544,2011,11,2010
League City Bay Area Christian,2010-11-09,1423.216855273331,2011,11,2010
League City Bay Area Christian,2010-11-12,1448.371968414635,2011,11,2010
League City Bay Area Christian,2010-11-13,1471.432932756814,2011,11,2010
League City Bay Area Christian,2010-11-16,1444.0309044879325,2011,11,2010
League City Bay Area Christian,2010-11-23,1431.7056081382748,2011,11,2010
League City Bay Area Christian,2010-11-30,1415.529812451011,2011,11,2010
League City Bay Area Christian,2010-12-11,1405.9360731691831,2011,12,2010
League City Bay Area Christian,2010-12-18,1414.8805247428095,2011,12,2010
League City Bay Area Christian,2011-1-04,1404.8399687724448,2011,1,2011
League City Bay Area Christian,2011-1-07,1385.6103961650358,2011,1,2011
League City Bay Area Christian,2011-2-15,1371.2991911925828,2011,2,2011
League City Bay Area Christian,2011-11-04,1429.263571504766,2012,11,2011
League City Bay Area Christian,2011-11-08,1414.6403180114755,2012,11,2011
League City Bay Area Christian,2011-11-15,1430.2006602404701,2012,11,2011
League City Bay Area Christian,2011-11-29,1451.060298185146,2012,11,2011
League City Bay Area Christian,2012-2-18,1444.3606681095719,2012,2,2012
League City Bay Area Christian,2012-11-02,1465.3404961908975,2013,11,2012
League City Bay Area Christian,2012-11-03,1459.758074553225,2013,11,2012
League City Bay Area Christian,2012-11-08,1474.157773194131,2013,11,2012
League City Bay Area Christian,2012-12-14,1488.3046367144912,2013,12,2012
League City Bay Area Christian,2013-11-01,1460.7358966282566,2014,11,2013
League City Bay Area Christian,2013-11-02,1407.5882112466427,2014,11,2013
League City Bay Area Christian,2013-11-21,1397.4138686710492,2014,11,2013
League City Bay Area Christian,2014-2-25,1390.6918612978573,2014,2,2014
League City Bay Area Christian,2015-2-10,1444.406295864605,2015,2,2015
League City Bay Area Christian,2015-2-16,1436.3980307642744,2015,2,2015
League City Bay Area Christian,2015-11-13,1461.909896440807,2016,11,2015
League City Bay Area Christian,2015-11-14,1425.2413520279972,2016,11,2015
League City Bay Area Christian,2016-1-19,1409.4281725685003,2016,1,2016
League City Bay Area Christian,2016-1-29,1388.6473081295653,2016,1,2016
League City Bay Area Christian,2016-12-20,1440.2195471974653,2017,12,2016
League City Bay Area Christian,2017-1-17,1425.2438893804738,2017,1,2017
SATCH,2009-11-03,1484.9510382665462,2010,11,2009
SATCH,2009-11-10,1472.7141660696689,2010,11,2009
SATCH,2009-11-16,1461.727830986768,2010,11,2009
SATCH,2009-12-01,1448.9956838676605,2010,12,2009
SATCH,2009-12-29,1432.5650019038826,2010,12,2009
SATCH,2010-1-09,1420.7932741683496,2010,1,2010
SATCH,2010-11-02,1490.368235751484,2011,11,2010
SATCH,2010-11-04,1463.0553238008629,2011,11,2010
SATCH,2010-11-09,1488.9818312683012,2011,11,2010
SATCH,2010-11-16,1489.5613438111036,2011,11,2010
SATCH,2010-11-23,1474.6120303419093,2011,11,2010
SATCH,2010-11-27,1460.7409811106236,2011,11,2010
SATCH,2010-12-02,1470.2916643743126,2011,12,2010
SATCH,2010-12-04,1460.0995557711444,2011,12,2010
SATCH,2010-12-06,1447.263033260574,2011,12,2010
SATCH,2010-12-09,1436.5129621578942,2011,12,2010
SATCH,2010-12-21,1418.2016211084842,2011,12,2010
SATCH,2010-12-28,1385.6120194539167,2011,12,2010
SATCH,2010-12-29,1424.2223858018965,2011,12,2010
SATCH,2010-12-30,1400.095213239517,2011,12,2010
SATCH,2011-1-04,1422.9645754452672,2011,1,2011
SATCH,2011-1-07,1439.8690871598217,2011,1,2011
SATCH,2011-1-27,1446.5174557965915,2011,1,2011
SATCH,2011-2-01,1455.9009346659293,2011,2,2011
SATCH,2011-11-05,1469.3427722443732,2012,11,2011
SATCH,2011-11-08,1446.6389870174028,2012,11,2011
SATCH,2011-11-15,1436.4181604953314,2012,11,2011
SATCH,2011-11-18,1449.3371437558326,2012,11,2011
SATCH,2011-11-19,1460.1890741415627,2012,11,2011
SATCH,2012-1-17,1451.6172324046818,2012,1,2012
SATCH,2012-1-19,1445.1663784846485,2012,1,2012
SATCH,2012-2-03,1422.409536922433,2012,2,2012
SATCH,2012-2-07,1411.8874509646157,2012,2,2012
SATCH,2012-2-13,1402.4374459073701,2012,2,2012
SATCH,2012-11-06,1486.0855298915842,2013,11,2012
SATCH,2012-11-15,1471.1485739123518,2013,11,2012
SATCH,2012-11-16,1489.0298128567053,2013,11,2012
SATCH,2012-12-18,1506.4634201484853,2013,12,2012
SATCH,2012-12-20,1488.5862735097849,2013,12,2012
SATCH,2012-12-21,1481.9725434357292,2013,12,2012
SATCH,2013-1-15,1467.4898893367313,2013,1,2013
SATCH,2013-1-29,1460.0030699864687,2013,1,2013
SATCH,2013-2-05,1439.7828514881978,2013,2,2013
SATCH,2013-2-12,1428.8442562186183,2013,2,2013
SATCH,2013-2-15,1421.8460914541918,2013,2,2013
SATCH,2013-11-07,1429.1816194783908,2014,11,2013
SATCH,2013-11-14,1389.9028063438716,2014,11,2013
SATCH,2013-11-26,1373.5888876737408,2014,11,2013
SATCH,2013-12-03,1365.371510295078,2014,12,2013
SATCH,2013-12-05,1344.4227599254584,2014,12,2013
SATCH,2013-12-07,1320.999069953888,2014,12,2013
SATCH,2013-12-10,1307.6909648960366,2014,12,2013
SATCH,2013-12-14,1301.0997834807083,2014,12,2013
SATCH,2014-12-19,1436.6479528244286,2015,12,2014
SATCH,2015-1-02,1448.076428537442,2015,1,2015
SATCH,2015-11-16,1494.0895801087333,2016,11,2015
