,date,away_team,away_score,home_team,home_score,year,month,day
0,2009-11-03,League City Bay Area Christian,50.0,The Village School,80.0,2009,11,3
1,2009-11-03,SATCH,53.0,Houston Christian,66.0,2009,11,3
2,2009-11-03,Houston Northland Christian,44.0,Houston St. Pius X,71.0,2009,11,3
3,2009-11-03,CHSA,75.0,Northeast Christian,97.0,2009,11,3
4,2009-11-04,Houston Emery/Weiner,91.0,Houston St. Thomas Episcopal,79.0,2009,11,4
5,2009-11-05,HCYA-Green,56.0,Houston St. Pius X,42.0,2009,11,5
6,2009-11-05,Houston St. Thomas,58.0,CHSA,44.0,2009,11,5
7,2009-11-05,Northeast Christian,62.0,HCYA North,67.0,2009,11,5
8,2009-11-05,Katy,40.0,League City Bay Area Christian,82.0,2009,11,5
9,2009-11-06,Houston Cypress Christian,36.0,The Village School,83.0,2009,11,6
10,2009-11-06,Laredo St. Augustine,53.0,San Antonio Antonian,84.0,2009,11,6
11,2009-11-06,Dallas Bishop,54.0,Houston Second Baptist,69.0,2009,11,6
12,2009-11-06,Corpus Christi John Paul II,59.0,Houston Second Baptist,83.0,2009,11,6
13,2009-11-06,Galveston St. Augustine,25.0,Austin St. Michael's,94.0,2009,11,6
14,2009-11-06,Tomball,32.0,Houston St. Thomas,74.0,2009,11,6
15,2009-11-06,Northeast Christian,57.0,Houston St. Pius X,64.0,2009,11,6
16,2009-11-06,Tomball,55.0,Northeast Christian,44.0,2009,11,6
17,2009-11-06,Houston Northland Christian,56.0,Houston Christian,57.0,2009,11,6
18,2009-11-06,Harmony Science,35.0,Tomball Rosehill Christian,82.0,2009,11,6
19,2009-11-07,Houston St. Pius X,45.0,CHSA,41.0,2009,11,7
20,2009-11-07,Austin St. Michael's,63.0,Round Rock Stony Point,70.0,2009,11,7
21,2009-11-07,Houston St. Thomas,43.0,Houston St. Pius X,24.0,2009,11,7
22,2009-11-07,HCYA North,57.0,Tomball Concordia Lutheran,49.0,2009,11,7
23,2009-11-07,Houston Second Baptist,70.0,Austin St. Michael's,63.0,2009,11,7
24,2009-11-07,Houston West,83.0,Austin St. Michael's,34.0,2009,11,7
25,2009-11-07,Tomball,49.0,Houston St. Pius X,44.0,2009,11,7
26,2009-11-07,Dallas Bishop,73.0,San Antonio Antonian,86.0,2009,11,7
27,2009-11-07,HCYA North,51.0,Houston St. Thomas,41.0,2009,11,7
28,2009-11-09,Conroe,45.0,Tomball Rosehill Christian,57.0,2009,11,9
29,2009-11-09,Houston Heights,76.0,Houston Can,69.0,2009,11,9
30,2009-11-09,The Village School,111.0,Katy Faith West Academy,36.0,2009,11,9
31,2009-11-09,Houston Second Baptist,74.0,Houston Emery/Weiner,40.0,2009,11,9
32,2009-11-10,SATCH,62.0,Tomball Concordia Lutheran,69.0,2009,11,10
33,2009-11-10,San Antonio Gateway,35.0,New Braunfels Christian Academy,57.0,2009,11,10
34,2009-11-10,Austin Concordia Academy,64.0,San Antonio Lutheran,87.0,2009,11,10
35,2009-11-10,Houston St. Thomas,64.0,Houston Christian,72.0,2009,11,10
36,2009-11-10,The Village School,58.0,Sugar Land Fort Bend Baptist,74.0,2009,11,10
37,2009-11-10,Castle Hills Baptist,30.0,Boerne Geneva,73.0,2009,11,10
38,2009-11-10,Northeast Christian,85.0,Houston Lutheran North,30.0,2009,11,10
39,2009-11-12,San Antonio Saint Mary's Hall,47.0,San Antonio TMI,51.0,2009,11,12
40,2009-11-12,Houston Awty International,27.0,The Village School,83.0,2009,11,12
41,2009-11-12,Houston West,75.0,Houston Emery/Weiner,30.0,2009,11,12
42,2009-11-12,HCYA North,67.0,Argyle Liberty Christian,62.0,2009,11,12
43,2009-11-12,CHSA,56.0,St. John's,62.0,2009,11,12
44,2009-11-12,Argyle,41.0,Houston Second Baptist,55.0,2009,11,12
45,2009-11-12,San Antonio Antonian,65.0,St. John's,63.0,2009,11,12
46,2009-11-12,Houston St. Thomas,64.0,Houston Northland Christian,34.0,2009,11,12
47,2009-11-12,Houston Lutheran North,53.0,Houston St. Thomas,61.0,2009,11,12
48,2009-11-12,Tomball,50.0,Houston St. Pius X,43.0,2009,11,12
49,2009-11-13,San Antonio Gateway,52.0,San Antonio Lutheran,57.0,2009,11,13
50,2009-11-13,San Antonio Antonian,84.0,Houston HCYA,50.0,2009,11,13
51,2009-11-13,Austin Brentwood Christian,38.0,New Braunfels Christian Academy,60.0,2009,11,13
52,2009-11-13,San Antonio St. Gerard,38.0,New Braunfels Christian Academy,62.0,2009,11,13
53,2009-11-13,San Antonio Believers Academy,40.0,San Antonio Rainbow Hills,46.0,2009,11,13
54,2009-11-13,San Antonio The Winston,34.0,San Marcos Baptist,43.0,2009,11,13
55,2009-11-13,San Marcos,58.0,San Antonio Keystone,69.0,2009,11,13
56,2009-11-13,Episcopal,87.0,Houston St. Thomas Episcopal,66.0,2009,11,13
57,2009-11-13,Houston Christian,78.0,Katy Faith West Academy,18.0,2009,11,13
58,2009-11-13,Houston Clear Lake,34.0,Sugar Land Fort Bend Baptist,91.0,2009,11,13
59,2009-11-14,San Antonio Christian,73.0,San Antonio Saint Mary's Hall,64.0,2009,11,14
60,2009-11-14,San Antonio Antonian,57.0,Houston Second Baptist,68.0,2009,11,14
61,2009-11-14,San Marcos,62.0,New Braunfels Christian Academy,73.0,2009,11,14
62,2009-11-14,San Marcos,64.0,New Braunfels Christian Academy,48.0,2009,11,14
63,2009-11-14,San Antonio Believers Academy,36.0,San Antonio The Winston,34.0,2009,11,14
64,2009-11-14,San Marcos,45.0,San Antonio Gateway,62.0,2009,11,14
65,2009-11-14,San Antonio Rainbow Hills,29.0,San Marcos Baptist,66.0,2009,11,14
66,2009-11-14,San Antonio Keystone,77.0,San Antonio Lutheran,75.0,2009,11,14
67,2009-11-14,San Antonio The Winston,25.0,San Marcos Hill Country,50.0,2009,11,14
68,2009-11-14,San Antonio Believers Academy,39.0,San Antonio Gateway,41.0,2009,11,14
69,2009-11-14,San Antonio Rainbow Hills,64.0,San Antonio Lutheran,61.0,2009,11,14
70,2009-11-14,San Marcos,70.0,San Antonio Keystone,58.0,2009,11,14
71,2009-11-14,St. John's,25.0,Houston St. Thomas,48.0,2009,11,14
72,2009-11-14,HCYA North,56.0,Houston Second Baptist,72.0,2009,11,14
73,2009-11-14,Houston Second Baptist,64.0,Houston St. Thomas,61.0,2009,11,14
74,2009-11-14,San Antonio St. Gerard,62.0,Austin Brentwood Christian,42.0,2009,11,14
75,2009-11-14,San Antonio St. Gerard,58.0,Austin Brentwood Christian,46.0,2009,11,14
76,2009-11-16,Big Spring,18.0,Sabinal,68.0,2009,11,16
77,2009-11-16,San Antonio Jay,42.0,San Antonio MacArthur,58.0,2009,11,16
78,2009-11-16,Alvin,53.0,Pearland Dawson,47.0,2009,11,16
79,2009-11-16,Houston St. Pius X,42.0,Houston Lamar,51.0,2009,11,16
80,2009-11-16,SATCH,59.0,Northeast Christian,64.0,2009,11,16
81,2009-11-16,San Antonio Southwest,56.0,San Antonio Southside,47.0,2009,11,16
82,2009-11-16,San Antonio Brandeis,47.0,San Antonio Johnson,82.0,2009,11,16
83,2009-11-16,Klein,50.0,Conroe Oak Ridge,62.0,2009,11,16
84,2009-11-16,Conroe,70.0,Spring Westfield,51.0,2009,11,16
85,2009-11-16,Sweeny,78.0,Bay City,36.0,2009,11,16
86,2009-11-16,Alief Elsik,67.0,Houston Second Baptist,69.0,2009,11,16
87,2009-11-16,Conroe,49.0,Klein Collins,93.0,2009,11,16
88,2009-11-16,Dickinson,80.0,Houston Yates,142.0,2009,11,16
89,2009-11-16,Beaumont Kelly Catholic,51.0,Beaumont Milburn Academy,61.0,2009,11,16
90,2009-11-16,West,51.0,Vidor,54.0,2009,11,16
91,2009-11-16,Silsbee,87.0,Beaumont Legacy Christian Academy,28.0,2009,11,16
92,2009-11-16,Medina,47.0,Fredericksburg,57.0,2009,11,16
93,2009-11-16,San Antonio Stevens,48.0,San Antonio Reagan,56.0,2009,11,16
94,2009-11-16,San Antonio St. Anthony,42.0,Pleasanton,47.0,2009,11,16
95,2009-11-16,Houston Jones,61.0,Houston St. Thomas,62.0,2009,11,16
96,2009-11-17,San Antonio TMI,55.0,San Antonio Keystone,37.0,2009,11,17
97,2009-11-17,San Antonio Brooks Academy,32.0,San Antonio St. Gerard,60.0,2009,11,17
98,2009-11-17,Hondo,70.0,Bandera,61.0,2009,11,17
